Treatment	Relative Expression (compared to control)	Gene ID	baseMean	log2FoldChange	lfcSE	padj	-Log(P)	Gene Name	Protein	Uniprot SPID	Blast Evalue	Uniprot ID Protein Name	gene_ontology_biological_process
Severe OA (pH 7.5)	Higher	GWK47_010800	2901	0.17	0.06	0.0354	1.45	Dbp80	DEAD-box helicase Dbp80	O61305	4.37E-163	DEAD-box helicase Dbp80 (EC 3.6.4.13)	poly(A)+ mRNA export from nucleus [GO:0016973]; regulation of gene expression [GO:0010468]
Severe OA (pH 7.5)	Higher	GWK47_033054	20304	0.16	0.06	0.0350	1.46	CALM_0	Calmodulin	P05419	1.58E-49	Neo-calmodulin (NeoCaM)	
Severe OA (pH 7.5)	Higher	GWK47_021510	2306	0.16	0.05	0.0184	1.74	vps18	Vacuolar protein sorting-associated protein 18	P59015	4.74E-261	Vacuolar protein sorting-associated protein 18 homolog	apical protein localization [GO:0045176]; bile acid and bile salt transport [GO:0015721]; endosome organization [GO:0007032]; endosome to lysosome transport [GO:0008333]; endosome to pigment granule transport [GO:0043485]; eye pigmentation [GO:0048069]; intracellular protein transport [GO:0006886]; lysosome organization [GO:0007040]; notochord cell vacuolation [GO:0060036]; optokinetic behavior [GO:0007634]; organelle fusion [GO:0048284]; pigment granule maturation [GO:0048757]; vesicle docking involved in exocytosis [GO:0006904]
Severe OA (pH 7.5)	Higher	GWK47_054234	4798	0.16	0.06	0.0431	1.37	C35D10.1	ER membrane protein complex subunit 7	Q8WQG1	2.58E-38	ER membrane protein complex subunit 7 homolog	
Severe OA (pH 7.5)	Higher	GWK47_051225	1151	0.15	0.06	0.0364	1.44	PIP4K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	Q5F356	6.18E-118	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(5)P-4-kinase isoform 2-alpha)	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process [GO:1902635]; autophagosome-lysosome fusion [GO:0061909]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; regulation of autophagy [GO:0010506]; vesicle-mediated cholesterol transport [GO:0090119]
Severe OA (pH 7.5)	Higher	GWK47_043054	4715	0.15	0.05	0.0302	1.52	SelD	Selenide, water dikinase	O18373	5.94E-197	Inactive selenide, water dikinase-like protein (Protein patufet) (Selenophosphate synthetase 1)	negative regulation of reactive oxygen species metabolic process [GO:2000378]
Severe OA (pH 7.5)	Higher	GWK47_020574	2881	0.15	0.05	0.0425	1.37	edf1	Endothelial differentiation-related factor 1	Q6GPQ6	5.42E-58	Endothelial differentiation-related factor 1 homolog (EDF-1)	
Severe OA (pH 7.5)	Higher	GWK47_009944	16906	0.14	0.05	0.0391	1.41	EIF3D	Eukaryotic translation initiation factor 3 subunit D	K7IM66	6.19E-258	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7)	cap-dependent translational initiation [GO:0002191]; formation of cytoplasmic translation initiation complex [GO:0001732]
Severe OA (pH 7.5)	Higher	GWK47_012820	2397	0.14	0.05	0.0470	1.33	rl	Mitogen-activated protein kinase ERK-A	P46196	9.44E-176	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	apoptotic process [GO:0006915]; cell surface receptor signaling pathway [GO:0007166]; cellular response to hypoxia [GO:0071456]; intracellular signal transduction [GO:0035556]; negative regulation of acetyl-CoA biosynthetic process from pyruvate [GO:0160218]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of protein targeting to mitochondrion [GO:1903955]; protein phosphorylation [GO:0006468]; regulation of protein stability [GO:0031647]; response to epidermal growth factor [GO:0070849]
Severe OA (pH 7.5)	Higher	GWK47_048055	7802	0.13	0.04	0.0189	1.72	skr-1	Skp1-related protein	G5ECU1	1.64E-56	Skp1-related protein	female sex differentiation [GO:0046660]; negative regulation of centrosome duplication [GO:0010826]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of gene expression [GO:0010629]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]; nervous system development [GO:0007399]; positive regulation of apoptotic process [GO:0043065]; regulation of protein stability [GO:0031647]; regulation of synapse maturation [GO:0090128]; regulation of synapse pruning [GO:1905806]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]
Severe OA (pH 7.5)	Higher	GWK47_044723	4347	0.13	0.05	0.0421	1.38	Xpnpep1_2	Xaa-Pro aminopeptidase 1	Q9NQW7	7.25E-236	Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)	bradykinin catabolic process [GO:0010815]; negative regulation of programmed cell death [GO:0043069]; proteolysis [GO:0006508]
Severe OA (pH 7.5)	Higher	GWK47_007253	9849	0.10	0.19	0.0490	1.31	UGT2B15_3	UDP-glucuronosyltransferase 2B15	A0A291PQF1	3.95E-43	UDP-glycosyltransferase UGT5 (EC 2.4.1.-) (UDP-glucosyltransferase 5) (DcUGT5)	
Severe OA (pH 7.5)	Lower	GWK47_013137	61	-0.06	0.13	0.0073	2.14	Trim56_0	E3 ubiquitin-protein ligase TRIM56				
Severe OA (pH 7.5)	Lower	GWK47_009418	231	-0.08	0.15	0.0405	1.39	acr-16	Acetylcholine receptor subunit alpha-type acr-16	P48180	9.02E-34	Acetylcholine receptor subunit alpha-type acr-16	chemical synaptic transmission [GO:0007268]; monoatomic ion transmembrane transport [GO:0034220]; regulation of membrane potential [GO:0042391]
Severe OA (pH 7.5)	Lower	GWK47_034210	1658	-0.14	0.05	0.0448	1.35	STAG1	Cohesin subunit SA-1	Q8WVM7	0	Cohesin subunit SA-1 (SCC3 homolog 1) (Stromal antigen 1)	cell division [GO:0051301]; establishment of mitotic sister chromatid cohesion [GO:0034087]; mitotic spindle assembly [GO:0090307]; sister chromatid cohesion [GO:0007062]
Severe OA (pH 7.5)	Lower	GWK47_029340	809	-0.14	0.05	0.0357	1.45	Prpf6	Pre-mRNA-processing factor 6	Q91YR7	5.15E-269	Pre-mRNA-processing factor 6 (PRP6 homolog) (U5 snRNP-associated 102 kDa protein) (U5-102 kDa protein)	mRNA splicing, via spliceosome [GO:0000398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA localization [GO:0006403]; spliceosomal tri-snRNP complex assembly [GO:0000244]
Severe OA (pH 7.5)	Lower	GWK47_025992	8486	-0.14	0.04	0.0057	2.24	Sur-8	Leucine-rich repeat protein soc-2	B4IBI9	3.26E-24	Leucine-rich repeat protein soc-2 homolog (Protein Sur-8 homolog) (Protein soc-2 homolog)	
Severe OA (pH 7.5)	Lower	GWK47_013748	2690	-0.14	0.05	0.0372	1.43		Lissencephaly-1	B7PS00	5.69E-95	Lissencephaly-1 homolog	brain morphogenesis [GO:0048854]; cell division [GO:0051301]; establishment of mitotic spindle orientation [GO:0000132]; germ cell development [GO:0007281]; microtubule organizing center organization [GO:0031023]; microtubule sliding [GO:0051012]; nuclear migration [GO:0007097]; retrograde axonal transport [GO:0008090]; vesicle transport along microtubule [GO:0047496]
Severe OA (pH 7.5)	Lower	GWK47_043053	15187	-0.14	0.06	0.0475	1.32	Cltc	Clathrin heavy chain 1	Q68FD5	0	Clathrin heavy chain 1	autophagy [GO:0006914]; cell division [GO:0051301]; clathrin coat disassembly [GO:0072318]; intracellular protein transport [GO:0006886]; mitotic spindle assembly [GO:0090307]; negative regulation of hyaluronan biosynthetic process [GO:1900126]
Severe OA (pH 7.5)	Lower	GWK47_009471	1020	-0.15	0.07	0.0482	1.32	ARHGEF12	Rho guanine nucleotide exchange factor 12	Q9NZN5	9.11E-76	Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)	G protein-coupled receptor signaling pathway [GO:0007186]; regulation of small GTPase mediated signal transduction [GO:0051056]; Rho protein signal transduction [GO:0007266]; Rho-activating G protein-coupled receptor signaling pathway [GO:0160221]
Severe OA (pH 7.5)	Lower	GWK47_009076	2152	-0.15	0.05	0.0200	1.70	chmp4b	Charged multivesicular body protein 4b	Q5XGW6	4.89E-84	Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b)	exit from mitosis [GO:0010458]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; membrane fission [GO:0090148]; mitotic cytokinesis [GO:0000281]; nuclear membrane reassembly [GO:0031468]; protein transport [GO:0015031]; vesicle budding from membrane [GO:0006900]
Severe OA (pH 7.5)	Lower	GWK47_032578	4852	-0.15	0.04	0.0082	2.08	Prrc2c	Protein PRRC2C				
Severe OA (pH 7.5)	Lower	GWK47_022759	2425	-0.15	0.05	0.0234	1.63	arm_0	Armadillo segment polarity protein	Q7QHW5	2.05E-223	Armadillo segment polarity protein	canonical Wnt signaling pathway [GO:0060070]; cell-cell adhesion [GO:0098609]; positive regulation of transcription by RNA polymerase II [GO:0045944]; segment polarity determination [GO:0007367]
Severe OA (pH 7.5)	Lower	GWK47_008966	1338	-0.16	0.06	0.0482	1.32	HRP65_3	Hrp65 protein				
Severe OA (pH 7.5)	Lower	GWK47_009478	1280	-0.16	0.06	0.0328	1.48		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_019391	2230	-0.16	0.05	0.0221	1.66	mon2	Protein MON2	Q9VLT1	0	Protein MON2 homolog	actin cytoskeleton organization [GO:0030036]; pole plasm protein localization [GO:0007318]; protein transport [GO:0015031]
Severe OA (pH 7.5)	Lower	GWK47_049492	3634	-0.16	0.05	0.0166	1.78	TfIIB	Transcription initiation factor IIB	P29052	1.38E-121	Transcription initiation factor IIB (General transcription factor TFIIB)	DNA-templated transcription initiation [GO:0006352]; mRNA transcription by RNA polymerase II [GO:0042789]; RNA polymerase II preinitiation complex assembly [GO:0051123]; transcription initiation at RNA polymerase II promoter [GO:0006367]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]
Severe OA (pH 7.5)	Lower	GWK47_054127	3388	-0.16	0.05	0.0065	2.19	Clptm1	Cleft lip and palate transmembrane protein 1	Q6DEL2	1.81E-236	Putative lipid scramblase CLPTM1 (Cleft lip and palate transmembrane protein 1 homolog)	cell differentiation [GO:0030154]
Severe OA (pH 7.5)	Lower	GWK47_001056	1716	-0.17	0.06	0.0410	1.39	EPN2	Epsin-2	O95208	1.02E-83	Epsin-2 (EPS-15-interacting protein 2)	endocytosis [GO:0006897]; negative regulation of sprouting angiogenesis [GO:1903671]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; positive regulation of Notch signaling pathway [GO:0045747]
Severe OA (pH 7.5)	Lower	GWK47_013246	1591	-0.17	0.06	0.0304	1.52	Usp9x_0	putative ubiquitin carboxyl-terminal hydrolase FAF-X	P70398	1.25E-92	Ubiquitin carboxyl-terminal hydrolase 9X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets homolog) (Fat facets protein-related, X-linked) (Ubiquitin carboxyl-terminal hydrolase FAM) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)	axon extension [GO:0048675]; BMP signaling pathway [GO:0030509]; cell division [GO:0051301]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cerebellar cortex structural organization [GO:0021698]; chromosome segregation [GO:0007059]; DNA alkylation repair [GO:0006307]; hippocampus development [GO:0021766]; in utero embryonic development [GO:0001701]; monoubiquitinated protein deubiquitination [GO:0035520]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; neuron migration [GO:0001764]; neuron projection extension [GO:1990138]; positive regulation of protein binding [GO:0032092]; positive regulation of TORC2 signaling [GO:1904515]; post-embryonic development [GO:0009791]; protein deubiquitination [GO:0016579]; protein deubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0071947]; protein import into peroxisome matrix, receptor recycling [GO:0016562]; protein K63-linked deubiquitination [GO:0070536]; protein stabilization [GO:0050821]; regulation of circadian rhythm [GO:0042752]; regulation of postsynapse assembly [GO:0150052]; regulation of T cell receptor signaling pathway [GO:0050856]; rhythmic process [GO:0048511]; transforming growth factor beta receptor signaling pathway [GO:0007179]
Severe OA (pH 7.5)	Lower	GWK47_047397	3177	-0.17	0.05	0.0128	1.89	scrib_0	Protein lap4	Q7KRY7	2.90E-134	Protein lap4 (Protein scribble) (Protein smell-impaired)	anterior/posterior axis specification, follicular epithelium [GO:0030714]; basal protein localization [GO:0045175]; cell fate commitment involved in pattern specification [GO:0060581]; cell fate specification [GO:0001708]; cell morphogenesis [GO:0000902]; cell-cell adhesion [GO:0098609]; compound eye development [GO:0048749]; dorsal closure [GO:0007391]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; establishment of ommatidial planar polarity [GO:0042067]; establishment or maintenance of apical/basal cell polarity [GO:0035088]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; establishment or maintenance of polarity of embryonic epithelium [GO:0016332]; establishment or maintenance of polarity of follicular epithelium [GO:0016334]; establishment or maintenance of polarity of larval imaginal disc epithelium [GO:0016336]; follicle cell of egg chamber development [GO:0030707]; Malpighian tubule development [GO:0072002]; memory [GO:0007613]; morphogenesis of a polarized epithelium [GO:0001738]; morphogenesis of embryonic epithelium [GO:0016331]; morphogenesis of follicular epithelium [GO:0016333]; morphogenesis of larval imaginal disc epithelium [GO:0016335]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of imaginal disc growth [GO:0045571]; neurotransmitter receptor transport, endosome to postsynaptic membrane [GO:0098887]; olfactory behavior [GO:0042048]; pole plasm protein localization [GO:0007318]; R3/R4 cell fate commitment [GO:0007464]; receptor clustering [GO:0043113]; regulation of endocytosis [GO:0030100]; regulation of synapse structure or activity [GO:0050803]; sensory perception of smell [GO:0007608]; septate junction assembly [GO:0019991]; stem cell differentiation [GO:0048863]; stem cell proliferation [GO:0072089]; wing disc morphogenesis [GO:0007472]; zonula adherens assembly [GO:0045186]
Severe OA (pH 7.5)	Lower	GWK47_034827	845	-0.18	0.06	0.0304	1.52	TSG101_1	Tumor susceptibility 101 protein	Q99816	4.28E-43	Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)	autophagosome maturation [GO:0097352]; cell division [GO:0051301]; endosome to lysosome transport [GO:0008333]; exosomal secretion [GO:1990182]; extracellular transport [GO:0006858]; keratinocyte differentiation [GO:0030216]; macroautophagy [GO:0016236]; membrane fission [GO:0090148]; multivesicular body assembly [GO:0036258]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of epidermal growth factor-activated receptor activity [GO:0007175]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of ubiquitin-dependent endocytosis [GO:2000397]; positive regulation of viral budding via host ESCRT complex [GO:1903774]; protein modification process [GO:0036211]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; regulation of cell cycle [GO:0051726]; regulation of cell growth [GO:0001558]; regulation of extracellular exosome assembly [GO:1903551]; regulation of MAP kinase activity [GO:0043405]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; viral budding [GO:0046755]; viral budding via host ESCRT complex [GO:0039702]; viral release from host cell [GO:0019076]
Severe OA (pH 7.5)	Lower	GWK47_053449	1350	-0.18	0.06	0.0155	1.81	USP32	Ubiquitin carboxyl-terminal hydrolase 32	Q8NFA0	0	Ubiquitin carboxyl-terminal hydrolase 32 (EC 3.4.19.12) (Deubiquitinating enzyme 32) (Renal carcinoma antigen NY-REN-60) (Ubiquitin thioesterase 32) (Ubiquitin-specific-processing protease 32)	positive regulation of TORC1 signaling [GO:1904263]; protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]
Severe OA (pH 7.5)	Lower	GWK47_019151	1075	-0.18	0.07	0.0290	1.54	PIP4P1	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	Q4V888	2.43E-20	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 2 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase II) (Transmembrane protein 55A)	negative regulation of phagocytosis [GO:0050765]; phosphatidylinositol dephosphorylation [GO:0046856]
Severe OA (pH 7.5)	Lower	GWK47_041637	677	-0.18	0.08	0.0483	1.32		putative neutral sphingomyelinase	Q9VZS6	4.16E-15	Putative neutral sphingomyelinase (EC 3.1.4.12)	ceramide biosynthetic process [GO:0046513]; sphingolipid catabolic process [GO:0030149]; sphingomyelin metabolic process [GO:0006684]
Severe OA (pH 7.5)	Lower	GWK47_033486	876	-0.18	0.08	0.0499	1.30	Hrs_1	Hepatocyte growth factor-regulated tyrosine kinase substrate	Q99LI8	5.10E-35	Hepatocyte growth factor-regulated tyrosine kinase substrate	protein transport [GO:0015031]
Severe OA (pH 7.5)	Lower	GWK47_046332	852	-0.18	0.08	0.0482	1.32	CaMKI_1	Calcium/calmodulin-dependent protein kinase type 1	W0LYS5	3.75E-126	Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (MnCaMKI)	molting cycle process [GO:0022404]
Severe OA (pH 7.5)	Lower	GWK47_025964	1264	-0.19	0.08	0.0425	1.37		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_008460	1740	-0.19	0.07	0.0293	1.53	TPP2	Tripeptidyl-peptidase 2	Q64560	3.38E-293	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)	intracellular amino acid homeostasis [GO:0080144]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
Severe OA (pH 7.5)	Lower	GWK47_005961	1786	-0.19	0.08	0.0379	1.42	Ubqln1_1	Ubiquilin-1	Q9UMX0	3.97E-56	Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)	aggrephagy [GO:0035973]; autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; cellular response to hypoxia [GO:0071456]; ERAD pathway [GO:0036503]; macroautophagy [GO:0016236]; negative regulation of store-operated calcium channel activity [GO:1901340]; negative regulation of toll-like receptor 3 signaling pathway [GO:0034140]; positive regulation of ERAD pathway [GO:1904294]; positive regulation of protein ubiquitination [GO:0031398]; regulation of macroautophagy [GO:0016241]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; regulation of protein ubiquitination [GO:0031396]; response to endoplasmic reticulum stress [GO:0034976]; ubiquitin-dependent protein catabolic process [GO:0006511]
